Area,Age,Sex,Year at 30 June,Value,Flags
"514200 Newton","Total people, age","Total people, sex","2017",2580,
"514103 Auckland Central East","Total people, age","Total people, sex","2017",17150,
"514102 Auckland Central West","Total people, age","Total people, sex","2017",21100,
"514101 Auckland Harbourside","Total people, age","Total people, sex","2017",6630,
"514000 Freemans Bay","Total people, age","Total people, sex","2017",4410,
"513800 Karekare","Total people, age","Total people, sex","2017",2850,
"513702 Waitakere","Total people, age","Total people, sex","2017",2180,
"513701 Taupaki","Total people, age","Total people, sex","2017",1010,
"513632 Waimumu South","Total people, age","Total people, sex","2017",4560,
"513631 Waimumu North","Total people, age","Total people, sex","2017",6660,
"513622 Birdwood East","Total people, age","Total people, sex","2017",1690,
"513621 Birdwood West","Total people, age","Total people, sex","2017",580,
"513610 Massey West","Total people, age","Total people, sex","2017",390,
"513530 Royal Heights","Total people, age","Total people, sex","2017",6970,
"513522 Lucken Point","Total people, age","Total people, sex","2017",6100,
"513521 West Harbour","Total people, age","Total people, sex","2017",5620,
"513512 Royal Road West","Total people, age","Total people, sex","2017",3240,
"513511 Westgate","Total people, age","Total people, sex","2017",1490,
"513432 Hobsonville South","Total people, age","Total people, sex","2017",2480,
"513431 Hobsonville East","Total people, age","Total people, sex","2017",2700,
"513420 Herald","Total people, age","Total people, sex","2017",1940,
"513410 Whenuapai West","Total people, age","Total people, sex","2017",2500,
"513302 Fairdene","Total people, age","Total people, sex","2017",5290,
"513301 Kingdale","Total people, age","Total people, sex","2017",4310,
"513220 Sturges North","Total people, age","Total people, sex","2017",8150,
"513214 Ranui South","Total people, age","Total people, sex","2017",3460,
"513213 Ranui Domain","Total people, age","Total people, sex","2017",3560,
"513212 Starling Park","Total people, age","Total people, sex","2017",3180,
"513211 Urlich","Total people, age","Total people, sex","2017",2670,
"513102 Swanson South","Total people, age","Total people, sex","2017",1250,
"513101 Swanson","Total people, age","Total people, sex","2017",1440,
"513020 Opanuku","Total people, age","Total people, sex","2017",2340,
"513013 McLaren Park","Total people, age","Total people, sex","2017",3320,
"513012 Palm Heights","Total people, age","Total people, sex","2017",2950,
"513011 Henderson West","Total people, age","Total people, sex","2017",2440,
"512906 Oratia","Total people, age","Total people, sex","2017",3860,
"512905 Oratia West","Total people, age","Total people, sex","2017",240,
"512904 Parrs Park","Total people, age","Total people, sex","2017",1600,
"512903 Parrs Park West","Total people, age","Total people, sex","2017",2480,
"512902 Otimai","Total people, age","Total people, sex","2017",3230,
"512802 Armour Bay","Total people, age","Total people, sex","2017",510,
"512801 Laingholm","Total people, age","Total people, sex","2017",2670,
"512700 Waima","Total people, age","Total people, sex","2017",2710,
