Area,Age,Sex,Year at 30 June,Value,Flags
"506901 Awaruku","Total people, age","Total people, sex","2016",4040,
"506902 Glamorgan","Total people, age","Total people, sex","2016",3720,
"506903 Torbay","Total people, age","Total people, sex","2016",5490,
"507000 Waiake","Total people, age","Total people, sex","2016",4780,
"507101 Browns Bay","Total people, age","Total people, sex","2016",4620,
"507102 Oaktree","Total people, age","Total people, sex","2016",5140,
"507200 Rothesay Bay","Total people, age","Total people, sex","2016",6060,
"507300 Murrays Bay","Total people, age","Total people, sex","2016",5300,
"507400 Mairangi Bay","Total people, age","Total people, sex","2016",6020,
"507500 Campbells Bay","Total people, age","Total people, sex","2016",2690,
"507710 Castor Bay","Total people, age","Total people, sex","2016",3380,
"507720 Crown Hill","Total people, age","Total people, sex","2016",3900,
"507800 Lake Pupuke","Total people, age","Total people, sex","2016",5730,
"507900 Westlake","Total people, age","Total people, sex","2016",5670,
"508010 Takapuna Central","Total people, age","Total people, sex","2016",3430,
"508020 Hauraki","Total people, age","Total people, sex","2016",6500,
"508110 Seacliffe","Total people, age","Total people, sex","2016",3830,
"508120 Bayswater","Total people, age","Total people, sex","2016",2790,
"508210 Kaipatiki","Total people, age","Total people, sex","2016",5170,
"508220 Windy Ridge","Total people, age","Total people, sex","2016",4030,
"508310 Glenfield Central","Total people, age","Total people, sex","2016",5310,
"508320 Glenfield North","Total people, age","Total people, sex","2016",4890,
"508411 Glendhu","Total people, age","Total people, sex","2016",6220,
"508412 Witheford","Total people, age","Total people, sex","2016",3520,
"508420 Target Road","Total people, age","Total people, sex","2016",7480,
"508510 Forrest Hill","Total people, age","Total people, sex","2016",6340,
"508520 Sunnynook","Total people, age","Total people, sex","2016",7460,
"508610 Monarch Park","Total people, age","Total people, sex","2016",5420,
"508620 Sunnybrae","Total people, age","Total people, sex","2016",3580,
"508701 Albany","Total people, age","Total people, sex","2016",3960,
"508703 Fairview","Total people, age","Total people, sex","2016",3610,
"508704 Northcross","Total people, age","Total people, sex","2016",5320,
"508803 Unsworth Heights","Total people, age","Total people, sex","2016",6310,
"508804 Pinehill","Total people, age","Total people, sex","2016",4750,
"508805 Windsor Park","Total people, age","Total people, sex","2016",2080,
"508806 North Harbour West","Total people, age","Total people, sex","2016",6030,
"508807 North Harbour East","Total people, age","Total people, sex","2016",4290,
"508900 Long Bay","Total people, age","Total people, sex","2016",1180,
"509000 Paremoremo East","Total people, age","Total people, sex","2016",2960,
"509100 Greenhithe","Total people, age","Total people, sex","2016",9370,
"509300 Narrow Neck","Total people, age","Total people, sex","2016",4080,
"509400 Mt Victoria","Total people, age","Total people, sex","2016",5860,
"509500 Stanley Bay","Total people, age","Total people, sex","2016",2460,
"509701 Ocean View","Total people, age","Total people, sex","2016",4940,
"509702 Tuff Crater","Total people, age","Total people, sex","2016",4900,
"509800 Northcote South","Total people, age","Total people, sex","2016",4620,
"510010 Beachhaven North","Total people, age","Total people, sex","2016",6060,
"510020 Beachhaven South","Total people, age","Total people, sex","2016",5200,
"510210 Birkdale North","Total people, age","Total people, sex","2016",3320,
"510220 Birkdale South","Total people, age","Total people, sex","2016",4580,
"510401 Kauri Park","Total people, age","Total people, sex","2016",4300,
"510402 Chelsea","Total people, age","Total people, sex","2016",4260,
"510500 Birkenhead East","Total people, age","Total people, sex","2016",4630,
"510700 Henderson North","Total people, age","Total people, sex","2016",6350,
"510800 Henderson South","Total people, age","Total people, sex","2016",5140,
"511001 Tangutu","Total people, age","Total people, sex","2016",3500,
"511002 Woodglen","Total people, age","Total people, sex","2016",5080,
"511100 Glen Eden East","Total people, age","Total people, sex","2016",7780,
"511301 New Lynn North","Total people, age","Total people, sex","2016",3020,
"511302 New Lynn South","Total people, age","Total people, sex","2016",3140,
"511303 Lynnmall","Total people, age","Total people, sex","2016",2750,
"511401 Fruitvale","Total people, age","Total people, sex","2016",5090,
"511402 Rewarewa","Total people, age","Total people, sex","2016",4890,
"511601 Glendene North","Total people, age","Total people, sex","2016",5020,
"511602 Glendene South","Total people, age","Total people, sex","2016",3170,
"511700 Kelston Central","Total people, age","Total people, sex","2016",5150,
"511800 Sunnyvale","Total people, age","Total people, sex","2016",4580,
"511901 Kaurilands","Total people, age","Total people, sex","2016",3490,
"511902 Crum Park","Total people, age","Total people, sex","2016",4400,
"512000 Titirangi South","Total people, age","Total people, sex","2016",3750,
"512100 Green Bay","Total people, age","Total people, sex","2016",4530,
"512201 Matipo","Total people, age","Total people, sex","2016",3340,
"512202 Durham Green","Total people, age","Total people, sex","2016",5010,
"512300 Te Atatu Central","Total people, age","Total people, sex","2016",5390,
"512401 Edmonton","Total people, age","Total people, sex","2016",3790,
"512402 Wakeling","Total people, age","Total people, sex","2016",4250,
"512500 Mcleod","Total people, age","Total people, sex","2016",6860,
"512600 Konini","Total people, age","Total people, sex","2016",3870,
"512700 Waima","Total people, age","Total people, sex","2016",2670,
"512801 Laingholm","Total people, age","Total people, sex","2016",2660,
"512802 Armour Bay","Total people, age","Total people, sex","2016",500,
"512902 Otimai","Total people, age","Total people, sex","2016",3210,
"512903 Parrs Park West","Total people, age","Total people, sex","2016",2400,
"512904 Parrs Park","Total people, age","Total people, sex","2016",1550,
"512905 Oratia West","Total people, age","Total people, sex","2016",240,
"512906 Oratia","Total people, age","Total people, sex","2016",3810,
"513011 Henderson West","Total people, age","Total people, sex","2016",2400,
"513012 Palm Heights","Total people, age","Total people, sex","2016",2880,
"513013 McLaren Park","Total people, age","Total people, sex","2016",3250,
"513020 Opanuku","Total people, age","Total people, sex","2016",2330,
"513101 Swanson","Total people, age","Total people, sex","2016",1400,
"513102 Swanson South","Total people, age","Total people, sex","2016",1230,
"513211 Urlich","Total people, age","Total people, sex","2016",2630,
"513212 Starling Park","Total people, age","Total people, sex","2016",3130,
"513213 Ranui Domain","Total people, age","Total people, sex","2016",3500,
"513214 Ranui South","Total people, age","Total people, sex","2016",3410,
"513220 Sturges North","Total people, age","Total people, sex","2016",7970,
"513301 Kingdale","Total people, age","Total people, sex","2016",4200,
"513302 Fairdene","Total people, age","Total people, sex","2016",5180,
"513410 Whenuapai West","Total people, age","Total people, sex","2016",2410,
"513420 Herald","Total people, age","Total people, sex","2016",1910,
"513431 Hobsonville East","Total people, age","Total people, sex","2016",1750,
"513432 Hobsonville South","Total people, age","Total people, sex","2016",2440,
"513511 Westgate","Total people, age","Total people, sex","2016",1480,
"513512 Royal Road West","Total people, age","Total people, sex","2016",3150,
"513521 West Harbour","Total people, age","Total people, sex","2016",5470,
"513522 Lucken Point","Total people, age","Total people, sex","2016",5980,
"513530 Royal Heights","Total people, age","Total people, sex","2016",6850,
"513610 Massey West","Total people, age","Total people, sex","2016",380,
"513621 Birdwood West","Total people, age","Total people, sex","2016",570,
"513622 Birdwood East","Total people, age","Total people, sex","2016",1660,
"513631 Waimumu North","Total people, age","Total people, sex","2016",6500,
"513632 Waimumu South","Total people, age","Total people, sex","2016",4480,
"513701 Taupaki","Total people, age","Total people, sex","2016",990,
"513702 Waitakere","Total people, age","Total people, sex","2016",2160,
"513800 Karekare","Total people, age","Total people, sex","2016",2820,
"514000 Freemans Bay","Total people, age","Total people, sex","2016",4340,
"514101 Auckland Harbourside","Total people, age","Total people, sex","2016",6210,
"514102 Auckland Central West","Total people, age","Total people, sex","2016",18500,
"514103 Auckland Central East","Total people, age","Total people, sex","2016",15150,
"514200 Newton","Total people, age","Total people, sex","2016",2440,
"514301 Grafton West","Total people, age","Total people, sex","2016",4660,
"514302 Grafton East","Total people, age","Total people, sex","2016",1390,
"514401 Roberton","Total people, age","Total people, sex","2016",6080,
"514402 Glenavon","Total people, age","Total people, sex","2016",7270,
"514500 New Windsor","Total people, age","Total people, sex","2016",7540,
"514600 Avondale South","Total people, age","Total people, sex","2016",6250,
"514700 Blockhouse Bay","Total people, age","Total people, sex","2016",6730,
"514801 Rosebank","Total people, age","Total people, sex","2016",5300,
"514802 Avondale West","Total people, age","Total people, sex","2016",5570,
"514900 Waterview","Total people, age","Total people, sex","2016",3790,
"515001 Point Chevalier West","Total people, age","Total people, sex","2016",3830,
"515002 Point Chevalier East","Total people, age","Total people, sex","2016",4940,
"515003 Point Chevalier South","Total people, age","Total people, sex","2016",1820,
"515100 Westmere","Total people, age","Total people, sex","2016",5620,
"515201 Herne Bay","Total people, age","Total people, sex","2016",3040,
"515202 St Marys","Total people, age","Total people, sex","2016",3490,
"515301 Ponsonby West","Total people, age","Total people, sex","2016",2770,
"515302 Ponsonby East","Total people, age","Total people, sex","2016",3850,
"515410 Grey Lynn West","Total people, age","Total people, sex","2016",3960,
"515420 Grey Lynn East","Total people, age","Total people, sex","2016",3800,
"515431 Surrey Crescent","Total people, age","Total people, sex","2016",3300,
"515432 St Lukes North","Total people, age","Total people, sex","2016",890,
"515500 Arch Hill","Total people, age","Total people, sex","2016",2050,
"515700 Epsom North","Total people, age","Total people, sex","2016",4090,
"515600 Eden Terrace","Total people, age","Total people, sex","2016",3660,
"515801 Epsom Central","Total people, age","Total people, sex","2016",4220,
"515802 Epsom South","Total people, age","Total people, sex","2016",4080,
"515901 Parnell East","Total people, age","Total people, sex","2016",2930,
"515902 Parnell West","Total people, age","Total people, sex","2016",5620,
"516001 Mt Hobson","Total people, age","Total people, sex","2016",1570,
"516002 Remuera South","Total people, age","Total people, sex","2016",4370,
"516003 Abbotts Park","Total people, age","Total people, sex","2016",4830,
"516101 Remuera West","Total people, age","Total people, sex","2016",3860,
"516102 Waitaramoa","Total people, age","Total people, sex","2016",4490,
"516201 Orakei South","Total people, age","Total people, sex","2016",3960,
"516202 Waiata","Total people, age","Total people, sex","2016",4540,
"516301 Meadowbank North","Total people, age","Total people, sex","2016",7260,
"516302 Meadowbank South","Total people, age","Total people, sex","2016",5750,
"516400 Orakei North","Total people, age","Total people, sex","2016",6120,
"516500 Mission Bay","Total people, age","Total people, sex","2016",6060,
"516601 Kohimarama West","Total people, age","Total people, sex","2016",3820,
"516602 Kohimarama East","Total people, age","Total people, sex","2016",4200,
"516700 St Heliers","Total people, age","Total people, sex","2016",5510,
"516800 Glendowie","Total people, age","Total people, sex","2016",4710,
"516900 Glen Innes North","Total people, age","Total people, sex","2016",6570,
"517001 Glen Innes West","Total people, age","Total people, sex","2016",5210,
"517002 Glen Innes East","Total people, age","Total people, sex","2016",3030,
"517100 Point England","Total people, age","Total people, sex","2016",5140,
"517201 St Johns","Total people, age","Total people, sex","2016",3040,
"517202 Stonefields","Total people, age","Total people, sex","2016",3170,
"517400 Newmarket","Total people, age","Total people, sex","2016",4050,
"517500 Kingsland","Total people, age","Total people, sex","2016",5350,
"517600 St Lukes","Total people, age","Total people, sex","2016",5570,
"517701 Sandringham North","Total people, age","Total people, sex","2016",3610,
"517702 Sandringham West","Total people, age","Total people, sex","2016",5570,
"517703 Sandringham East","Total people, age","Total people, sex","2016",3720,
"517800 Mt Albert Central","Total people, age","Total people, sex","2016",6270,
"517901 Springleigh","Total people, age","Total people, sex","2016",3120,
"517902 Owairaka West","Total people, age","Total people, sex","2016",2920,
"517903 Owairaka East","Total people, age","Total people, sex","2016",4720,
"518101 Mt Eden North","Total people, age","Total people, sex","2016",3870,
"518102 Sherbourne","Total people, age","Total people, sex","2016",3170,
"518201 Balmoral","Total people, age","Total people, sex","2016",6100,
"518202 Mt Eden East","Total people, age","Total people, sex","2016",3050,
"518301 Maungawhau","Total people, age","Total people, sex","2016",4350,
"518302 Mt Eden South","Total people, age","Total people, sex","2016",5440,
"518500 Three Kings","Total people, age","Total people, sex","2016",6260,
"518600 Royal Oak","Total people, age","Total people, sex","2016",6230,
"518701 Hillsborough West","Total people, age","Total people, sex","2016",8510,
"518702 Hillsborough East","Total people, age","Total people, sex","2016",4920,
"518801 Walmsley","Total people, age","Total people, sex","2016",4690,
"518802 Wesley","Total people, age","Total people, sex","2016",3390,
"518803 Akarana","Total people, age","Total people, sex","2016",6600,
"518901 Lynfield North","Total people, age","Total people, sex","2016",6650,
"518902 Lynfield South","Total people, age","Total people, sex","2016",4880,
"519001 Waikowhai West","Total people, age","Total people, sex","2016",4090,
"519002 Waikowhai East","Total people, age","Total people, sex","2016",5380,
"519200 Mt St John","Total people, age","Total people, sex","2016",5180,
"519300 One Tree Hill Central","Total people, age","Total people, sex","2016",2910,
"519400 One Tree Hill East","Total people, age","Total people, sex","2016",6320,
"519500 Penrose","Total people, age","Total people, sex","2016",810,
"519710 Onehunga North West","Total people, age","Total people, sex","2016",4110,
"519720 Onehunga North East","Total people, age","Total people, sex","2016",4010,
"519810 Onehunga South West","Total people, age","Total people, sex","2016",4190,
"519820 Onehunga South East","Total people, age","Total people, sex","2016",3900,
"519900 Oranga","Total people, age","Total people, sex","2016",4630,
"520000 Te Papapa","Total people, age","Total people, sex","2016",3820,
"520201 Ellerslie North","Total people, age","Total people, sex","2016",7150,
"520202 Ellerslie South","Total people, age","Total people, sex","2016",2400,
"520301 Mt Wellington Domain","Total people, age","Total people, sex","2016",1780,
"520302 Mt Wellington West","Total people, age","Total people, sex","2016",3130,
"520303 Mt Wellington North","Total people, age","Total people, sex","2016",3490,
"520401 Ferndale","Total people, age","Total people, sex","2016",5160,
"520402 Hamlin","Total people, age","Total people, sex","2016",5790,
"520500 Mt Wellington South","Total people, age","Total people, sex","2016",6410,
"520601 Tamaki","Total people, age","Total people, sex","2016",5100,
"520602 Panmure Basin","Total people, age","Total people, sex","2016",3000,
"520801 Waiheke Island","Total people, age","Total people, sex","2016",9150,
"520803 Bays-Waiheke Island","Total people, age","Total people, sex","2016",20,
"520804 Tidal-Waiheke Island","Total people, age","Total people, sex","2016",0,
"520900 Islands-Motutapu Rangitoto Rakino","Total people, age","Total people, sex","2016",60,
"521000 Great Barrier Island","Total people, age","Total people, sex","2016",930,
"521111 Paerata-Cape Hill","Total people, age","Total people, sex","2016",1220,
"521112 Eden Road-Hill Top","Total people, age","Total people, sex","2016",640,
"521116 Buckland","Total people, age","Total people, sex","2016",600,
"521121 Patumahoe","Total people, age","Total people, sex","2016",2910,
"521122 Kingseat","Total people, age","Total people, sex","2016",6820,
"521132 Hunua","Total people, age","Total people, sex","2016",4700,
"521134 Paparata","Total people, age","Total people, sex","2016",260,
"521151 Awhitu","Total people, age","Total people, sex","2016",2750,
"521152 Glenbrook","Total people, age","Total people, sex","2016",2340,
"521160 Bombay","Total people, age","Total people, sex","2016",910,
"521201 Hingaia","Total people, age","Total people, sex","2016",2560,
"521202 Whangapouri Creek","Total people, age","Total people, sex","2016",620,
"521203 Bremner","Total people, age","Total people, sex","2016",410,
"521301 Drury","Total people, age","Total people, sex","2016",3980,
"521302 Runciman","Total people, age","Total people, sex","2016",550,
"521501 Mellons Bay","Total people, age","Total people, sex","2016",3580,
"521502 Cockle Bay","Total people, age","Total people, sex","2016",5270,
"521601 Howick West","Total people, age","Total people, sex","2016",3050,
"521602 Howick Central","Total people, age","Total people, sex","2016",7020,
"521801 Otahuhu North","Total people, age","Total people, sex","2016",3150,
"521802 Fairburn","Total people, age","Total people, sex","2016",3870,
"521803 Otahuhu East","Total people, age","Total people, sex","2016",2340,
"521901 Otahuhu West","Total people, age","Total people, sex","2016",5500,
"521902 Middlemore","Total people, age","Total people, sex","2016",110,
"522100 Papatoetoe West","Total people, age","Total people, sex","2016",6480,
"522201 Papatoetoe North","Total people, age","Total people, sex","2016",6240,
"522202 Papatoetoe Central","Total people, age","Total people, sex","2016",5230,
"522301 Dingwall","Total people, age","Total people, sex","2016",4090,
"522302 Papatoetoe East","Total people, age","Total people, sex","2016",6210,
"522400 Puhinui North","Total people, age","Total people, sex","2016",4950,
"522601 Bucklands and Eastern Beaches","Total people, age","Total people, sex","2016",5740,
"522603 Bleakhouse","Total people, age","Total people, sex","2016",2110,
"522604 Bucklands Beach South","Total people, age","Total people, sex","2016",2980,
"522605 Half Moon Bay Marina","Total people, age","Total people, sex","2016",10,
"522711 Pigeon Mountain North","Total people, age","Total people, sex","2016",3710,
"522712 Murvale","Total people, age","Total people, sex","2016",4540,
"522721 Pigeon Mountain South","Total people, age","Total people, sex","2016",1450,
"522722 Highland Park","Total people, age","Total people, sex","2016",4690,
"522723 Elsmore Park","Total people, age","Total people, sex","2016",3310,
"522730 Half Moon Bay","Total people, age","Total people, sex","2016",4180,
"522810 Pakuranga North","Total people, age","Total people, sex","2016",4940,
"522820 Sunnyhills","Total people, age","Total people, sex","2016",3760,
"522910 Pakuranga Central","Total people, age","Total people, sex","2016",4040,
"522920 Edgewater","Total people, age","Total people, sex","2016",4820,
"523000 Pakuranga East","Total people, age","Total people, sex","2016",5860,
"523101 Howick South","Total people, age","Total people, sex","2016",5550,
"523102 Meadowland","Total people, age","Total people, sex","2016",4980,
"523105 Golfland","Total people, age","Total people, sex","2016",2700,
"523106 Millhouse","Total people, age","Total people, sex","2016",5600,
"523107 Burswood","Total people, age","Total people, sex","2016",1910,
"523109 Dannemora","Total people, age","Total people, sex","2016",4340,
"523110 Kilkenny","Total people, age","Total people, sex","2016",3280,
"523112 Highbrook","Total people, age","Total people, sex","2016",40,
"523113 Greenmount","Total people, age","Total people, sex","2016",5300,
"523114 Point View","Total people, age","Total people, sex","2016",6000,
"523115 Baverstock Oaks","Total people, age","Total people, sex","2016",7880,
"523116 Mission Heights","Total people, age","Total people, sex","2016",2990,
"523201 Shelly Park","Total people, age","Total people, sex","2016",2350,
"523202 Turanga","Total people, age","Total people, sex","2016",2390,
"523300 Beachlands-Maraetai","Total people, age","Total people, sex","2016",7630,
"523402 Otara West","Total people, age","Total people, sex","2016",3640,
"523403 Wymondley","Total people, age","Total people, sex","2016",1420,
"523404 Grange","Total people, age","Total people, sex","2016",710,
"523501 Otara North","Total people, age","Total people, sex","2016",1920,
"523502 Otara East","Total people, age","Total people, sex","2016",5260,
"523601 Otara South","Total people, age","Total people, sex","2016",3880,
"523602 Ferguson","Total people, age","Total people, sex","2016",4910,
"523711 Rongomai","Total people, age","Total people, sex","2016",5320,
"523712 Donegal Park","Total people, age","Total people, sex","2016",8600,
"523713 Ormiston","Total people, age","Total people, sex","2016",7720,
"523721 Clover Park","Total people, age","Total people, sex","2016",5130,
"523722 Redoubt North","Total people, age","Total people, sex","2016",5600,
"523813 Ardmore","Total people, age","Total people, sex","2016",1500,
"523814 Totara Heights","Total people, age","Total people, sex","2016",6450,
"523816 Randwick Park","Total people, age","Total people, sex","2016",3900,
"523817 Hyperion","Total people, age","Total people, sex","2016",2470,
