Area,Age,Sex,Year at 30 June,Value,Flags
"Puketapapa local board area","65 years and over","Total people, sex","2012",6300,
"Orakei local board area","65 years and over","Total people, sex","2012",11800,
"Maungakiekie-Tamaki local board area","65 years and over","Total people, sex","2012",7200,
"Maungakiekie-Tamaki local board area","65 years and over","Total people, sex","2013",7500,
"Orakei local board area","65 years and over","Total people, sex","2013",12300,
"Puketapapa local board area","65 years and over","Total people, sex","2013",6400,
"Albert-Eden local board area","65 years and over","Total people, sex","2013",9100,
"Whau local board area","65 years and over","Total people, sex","2013",9400,
"Waitemata local board area","65 years and over","Total people, sex","2013",5400,
"Waiheke local board area","65 years and over","Total people, sex","2013",1590,
"Great Barrier local board area","65 years and over","Total people, sex","2013",210,
"Waitakere Ranges local board area","65 years and over","Total people, sex","2013",4800,
"Waitakere Ranges local board area","65 years and over","Total people, sex","2014",5100,
"Great Barrier local board area","65 years and over","Total people, sex","2014",240,
"Waiheke local board area","65 years and over","Total people, sex","2014",1720,
"Waitemata local board area","65 years and over","Total people, sex","2014",5900,
"Whau local board area","65 years and over","Total people, sex","2014",9600,
"Albert-Eden local board area","65 years and over","Total people, sex","2014",9500,
"Puketapapa local board area","65 years and over","Total people, sex","2014",6800,
"Orakei local board area","65 years and over","Total people, sex","2014",12700,
"Maungakiekie-Tamaki local board area","65 years and over","Total people, sex","2014",7700,
"Maungakiekie-Tamaki local board area","65 years and over","Total people, sex","2015",8000,
"Orakei local board area","65 years and over","Total people, sex","2015",13200,
"Puketapapa local board area","65 years and over","Total people, sex","2015",7000,
"Albert-Eden local board area","65 years and over","Total people, sex","2015",9800,
"Whau local board area","65 years and over","Total people, sex","2015",9800,
"Waitemata local board area","65 years and over","Total people, sex","2015",6400,
"Waiheke local board area","65 years and over","Total people, sex","2015",1810,
"Great Barrier local board area","65 years and over","Total people, sex","2015",250,
"Waitakere Ranges local board area","65 years and over","Total people, sex","2015",5300,
"Waitakere Ranges local board area","65 years and over","Total people, sex","2016",5500,
"Great Barrier local board area","65 years and over","Total people, sex","2016",270,
"Waiheke local board area","65 years and over","Total people, sex","2016",1880,
"Waitemata local board area","65 years and over","Total people, sex","2016",6800,
"Whau local board area","65 years and over","Total people, sex","2016",10000,
"Albert-Eden local board area","65 years and over","Total people, sex","2016",10200,
"Puketapapa local board area","65 years and over","Total people, sex","2016",7300,
"Orakei local board area","65 years and over","Total people, sex","2016",13500,
"Maungakiekie-Tamaki local board area","65 years and over","Total people, sex","2016",8100,
"Maungakiekie-Tamaki local board area","65 years and over","Total people, sex","2017",8400,
"Orakei local board area","65 years and over","Total people, sex","2017",13900,
"Puketapapa local board area","65 years and over","Total people, sex","2017",7600,
"Albert-Eden local board area","65 years and over","Total people, sex","2017",10500,
"Whau local board area","65 years and over","Total people, sex","2017",10300,
